current_time,epoch,step,test_Accuracy,test_loss/dataloader_idx_1,train_Accuracy,train_loss,val_Accuracy,val_loss/dataloader_idx_0
1771865344.0,0,4,,,,2.4010918140411377,,
1771865344.0,0,9,,,,2.1304893493652344,,
1771865344.0,0,14,,,,2.0019664764404297,,
1771865344.0,0,19,,,,1.8461450338363647,,
1771865344.0,0,24,,,,2.0243213176727295,,
1771865344.0,0,29,,,,1.8863191604614258,,
1771865344.0,0,34,,,,1.4816601276397705,,
1771865344.0,0,39,,,,1.7036194801330566,,
1771865344.0,0,44,,,,1.9177937507629395,,
1771865344.0,0,49,,,,1.8593664169311523,,
1771865344.0,0,54,,,,1.5738272666931152,,
1771865344.0,0,59,,,,1.340144157409668,,
1771865344.0,0,64,,,,1.337555170059204,,
1771865344.0,0,69,,,,1.7995116710662842,,
1771865344.0,0,74,,,,1.377302885055542,,
1771865344.0,0,79,,,,1.88623046875,,
1771865344.0,0,84,,,,1.8803949356079102,,
1771865344.0,0,89,,,,1.4822274446487427,,
1771865472.0,0,94,,,,1.9008787870407104,,
1771865472.0,0,99,,,,1.4290560483932495,,
1771865472.0,0,104,,,,1.9396713972091675,,
1771865472.0,0,109,,,,1.3694957494735718,,
1771865472.0,0,114,,,,1.6136183738708496,,
1771865472.0,0,119,,,,1.001543402671814,,
1771865472.0,0,124,,,,1.0606379508972168,,
1771865472.0,0,129,,,,2.0035126209259033,,
1771865472.0,0,134,,,,1.7312880754470825,,
1771865472.0,0,139,,,,1.375860333442688,,
1771865472.0,0,144,,,,1.5951769351959229,,
1771865472.0,0,149,,,,1.5221829414367676,,
1771865472.0,0,154,,,,1.1875842809677124,,
1771865472.0,0,159,,,,1.2596454620361328,,
1771865472.0,0,164,,,,1.3428527116775513,,
1771865472.0,0,169,,,,1.2282663583755493,,
1771865472.0,0,174,,,,1.696170687675476,,
1771865472.0,0,179,,,,1.5053398609161377,,
1771865472.0,0,184,,,,1.3090686798095703,,
1771865472.0,0,189,,,,1.4539251327514648,,
1771865472.0,0,194,,,,1.6200382709503174,,
1771865472.0,0,199,,,,0.9038881063461304,,
,0,201,0.4833836853504181,1.5064157247543335,,,0.5298281311988831,1.409415602684021
,0,201,,,0.4732363820075989,,,
1771865472.0,1,204,,,,0.9779646396636963,,
1771865472.0,1,209,,,,1.4657528400421143,,
1771865472.0,1,214,,,,1.3585238456726074,,
1771865472.0,1,219,,,,1.399413824081421,,
1771865472.0,1,224,,,,1.1371099948883057,,
1771865472.0,1,229,,,,1.0061806440353394,,
1771865472.0,1,234,,,,1.3884999752044678,,
1771865472.0,1,239,,,,1.4056439399719238,,
1771865472.0,1,244,,,,0.9042057991027832,,
1771865472.0,1,249,,,,1.2418972253799438,,
1771865472.0,1,254,,,,1.1333236694335938,,
1771865472.0,1,259,,,,0.7941696643829346,,
1771865472.0,1,264,,,,1.2207536697387695,,
1771865472.0,1,269,,,,1.1752556562423706,,
1771865472.0,1,274,,,,1.1435480117797852,,
1771865472.0,1,279,,,,1.1862155199050903,,
1771865472.0,1,284,,,,1.1833367347717285,,
1771865600.0,1,289,,,,1.474238395690918,,
1771865600.0,1,294,,,,1.3162047863006592,,
1771865600.0,1,299,,,,1.393921136856079,,
1771865600.0,1,304,,,,1.2223879098892212,,
1771865600.0,1,309,,,,1.2135422229766846,,
1771865600.0,1,314,,,,1.1674160957336426,,
1771865600.0,1,319,,,,1.4619041681289673,,
1771865600.0,1,324,,,,1.0069174766540527,,
1771865600.0,1,329,,,,1.1070398092269897,,
1771865600.0,1,334,,,,1.2458487749099731,,
1771865600.0,1,339,,,,1.1317837238311768,,
1771865600.0,1,344,,,,0.9800273180007935,,
1771865600.0,1,349,,,,0.8643364906311035,,
1771865600.0,1,354,,,,1.166154384613037,,
1771865600.0,1,359,,,,1.0550237894058228,,
1771865600.0,1,364,,,,1.0092213153839111,,
1771865600.0,1,369,,,,0.9463686943054199,,
1771865600.0,1,374,,,,1.107772707939148,,
1771865600.0,1,379,,,,1.0312373638153076,,
1771865600.0,1,384,,,,1.2211430072784424,,
1771865600.0,1,389,,,,1.1860969066619873,,
1771865600.0,1,394,,,,1.2379918098449707,,
1771865600.0,1,399,,,,1.5055583715438843,,
,1,403,0.5236656665802002,1.4968371391296387,,,0.5399393439292908,1.4298856258392334
,1,403,,,0.5965346693992615,,,
1771865600.0,2,404,,,,1.1566369533538818,,
1771865600.0,2,409,,,,1.082002878189087,,
1771865600.0,2,414,,,,1.0161789655685425,,
1771865600.0,2,419,,,,0.9292644262313843,,
1771865600.0,2,424,,,,0.6636210680007935,,
1771865600.0,2,429,,,,0.9629199504852295,,
1771865600.0,2,434,,,,1.0566354990005493,,
1771865600.0,2,439,,,,1.2363202571868896,,
1771865600.0,2,444,,,,0.8075981736183167,,
